Feature,OLS,Ridge_0.001,Ridge_0.01,Ridge_0.1,Ridge_1.0,Ridge_10.0,Ridge_100.0,Ridge_1000.0,Lasso_0.001,Lasso_0.01,Lasso_0.1,Lasso_1.0,Lasso_10.0,Lasso_100.0,Lasso_1000.0
Input_Qty,184.732070,184.731840,184.729772,184.709096,184.502590,182.462724,164.303685,82.412585,184.731045,184.721943,184.631783,183.730190,174.714252,85.198831,0.000000
Output_Qty,-198.097777,-198.097532,-198.095331,-198.073318,-197.853463,-195.681503,-176.328345,-88.686634,-198.096809,-198.088244,-198.003664,-197.157857,-188.699792,-99.970145,0.000000
Lead_Time,21.177929,21.177899,21.177635,21.174997,21.148654,20.888768,18.602198,8.874530,21.176833,21.167220,21.072929,20.130020,10.700931,0.000000,0.000000
Warehouse_Temp,0.005254,0.005242,0.005132,0.004030,-0.006963,-0.114206,-0.961323,-2.401868,0.004168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Promo_Flag,9.951880,9.951878,9.951866,9.951744,9.950512,9.937148,9.722520,6.621437,9.950902,9.942058,9.853311,8.965840,0.091130,0.000000,0.000000
